,TUCASEID,TRTALONE,TRNUMHOU,TRSPPRES,TELFS,TRTSPONLY,TRTFAMILY,TEAGE,TESEX,YEAR
149605,20060503061805,167,4,2,4,0,473,32,2,2006
662711,20230908231348,260,2,1,5,835,835,66,1,2023
20277,20030503032355,425,4,1,1,325,325,50,1,2003
112251,20050504050680,5,3,3,1,0,775,27,1,2005
591020,20200606201417,150,6,2,5,0,630,35,2,2020
418760,20140112131843,870,3,3,1,0,20,85,1,2014
36631,20030807032074,172,3,1,5,285,465,37,1,2003
321932,20110201111860,350,3,1,1,0,0,29,1,2011
569666,20190606192033,515,3,1,5,140,170,85,1,2019
312054,20101110100975,256,4,1,5,0,551,33,2,2010
363485,20120404120123,30,2,1,1,390,390,46,2,2012
474779,20151111151641,495,3,1,1,0,141,20,2,2015
441402,20141009141361,565,3,3,1,0,0,19,1,2014
427063,20140404141054,370,1,3,1,0,165,27,1,2014
149456,20060503061376,65,5,1,1,0,215,43,2,2006
510646,20170302170644,320,2,1,1,0,0,62,2,2017
217310,20080403080651,5,4,1,1,180,755,29,2,2008
90651,20041009041943,0,3,3,5,0,515,41,2,2004
558625,20190112181447,250,4,1,1,0,330,41,2,2019
394848,20130403130600,209,3,3,5,0,0,73,1,2013
94307,20041110042347,750,2,3,5,0,0,79,2,2004
225200,20080606081994,215,5,3,5,0,15,57,1,2008
611002,20210402210549,935,3,2,5,0,0,26,2,2021
418881,20140112131974,110,2,1,1,90,90,50,1,2014
32352,20030706032298,20,4,1,1,0,205,33,1,2003
415452,20131211131504,456,2,1,5,204,204,77,2,2013
553447,20181109180700,985,2,3,1,0,0,63,1,2018
106277,20050302051468,120,3,2,1,0,850,23,2,2005
609518,20210302210846,210,2,1,1,210,210,38,1,2021
179385,20070301071178,400,2,3,4,0,155,40,2,2007
108144,20050402051470,112,2,1,1,210,210,27,1,2005
524634,20170908171468,366,3,1,1,0,30,46,1,2017
171887,20061211061922,0,2,1,5,780,900,68,1,2006
80317,20040706041270,30,2,1,5,840,840,75,2,2004
43240,20030908033369,460,2,1,1,60,180,65,2,2003
339621,20110807111735,60,3,1,1,215,840,33,2,2011
322940,20110212101589,463,1,3,1,0,120,54,2,2011
201151,20071009072302,177,3,1,1,65,384,43,1,2007
195236,20070807072001,310,2,1,4,485,485,55,1,2007
544083,20180605181247,270,5,1,5,55,770,40,2,2018
209658,20080112071796,835,1,3,5,0,0,85,2,2008
358416,20120301122444,0,5,3,5,0,770,30,2,2012
422479,20140302140009,680,1,3,5,0,0,41,1,2014
236409,20081009082366,140,3,1,1,0,250,26,1,2008
610333,20210302212146,24,3,1,1,110,850,32,1,2021
453337,20150301151341,280,3,1,1,0,110,55,1,2015
351927,20120101121918,900,1,3,5,0,0,63,1,2012
26692,20030605031684,440,2,1,1,310,310,56,2,2003
553961,20181110180775,0,8,3,1,0,820,19,1,2018
636979,20220605220757,55,5,1,4,90,785,40,2,2022
556394,20181211181549,0,2,1,1,490,490,19,2,2018
389369,20130201130932,70,2,1,1,220,220,21,1,2013
629802,20220201220968,0,2,1,5,640,722,65,2,2022
343648,20111008112276,367,4,1,5,296,633,23,1,2011
667561,20231211230587,810,1,3,1,0,0,70,2,2023
528394,20171109172229,280,4,3,1,0,275,25,1,2017
529822,20171110172488,141,3,1,1,0,227,46,2,2017
326449,20110402112163,0,3,1,1,70,750,26,1,2011
650081,20230201230636,655,5,3,1,0,0,19,1,2023
240954,20081211080962,0,3,1,1,480,810,21,2,2008
63335,20040112033106,700,1,3,1,0,0,44,2,2004
467233,20150807151997,295,3,2,5,0,0,22,2,2015
604531,20210101212051,780,1,3,5,0,0,80,2,2021
454756,20150302151718,400,3,1,1,259,500,36,2,2015
514008,20170403171708,340,3,1,1,0,445,23,1,2017
400835,20130605131600,55,1,3,1,0,0,37,1,2013
263011,20090706091163,70,4,1,1,0,390,41,1,2009
507037,20170112161522,720,1,3,5,0,0,77,2,2017
249485,20090301091343,585,6,3,1,0,345,52,1,2009
419328,20140112132464,0,5,1,5,0,840,43,1,2014
636598,20220604221308,120,3,1,1,330,345,40,1,2022
524539,20170908171336,732,2,1,5,0,273,50,1,2017
518276,20170605171402,141,4,2,1,0,834,28,2,2017
608783,20210212202276,900,7,3,5,0,15,75,2,2021
96847,20041211041579,57,3,3,5,0,523,20,2,2004
212938,20080212070756,600,4,3,1,0,15,49,2,2008
204524,20071209071225,180,2,1,1,185,615,21,2,2007
658444,20230606231875,180,3,1,1,540,570,46,2,2023
637137,20220605221070,682,3,3,1,0,131,69,2,2022
262148,20090705091457,730,4,3,5,0,0,43,2,2009
267775,20090808092384,105,2,1,1,285,285,55,1,2009
639224,20220706222230,330,2,1,5,450,600,65,1,2022
419354,20140112132491,213,4,1,1,0,642,42,2,2014
86184,20040908040643,290,8,3,5,0,45,22,2,2004
87681,20040908042130,340,3,1,1,0,15,47,2,2004
62482,20040112032251,225,3,1,1,0,60,40,1,2004
3029,20030112021722,330,2,1,1,375,375,52,1,2003
257645,20090504092034,80,7,3,5,0,215,44,1,2009
123616,20050808050855,45,4,2,5,0,480,36,2,2005
576798,20191009191829,215,4,3,1,0,123,39,2,2019
600988,20201110201035,840,1,3,5,0,0,65,1,2020
391352,20130212122352,70,3,3,4,0,0,53,2,2013
302188,20100806100141,105,5,1,1,335,630,36,2,2010
454761,20150302151722,71,2,1,1,889,889,67,1,2015
198180,20070908072361,510,2,1,5,120,120,60,1,2007
232095,20080908080956,507,3,3,1,0,274,30,2,2008
388989,20130201130558,805,1,3,1,0,0,54,2,2013
428673,20140504141547,685,4,2,1,0,455,40,2,2014
415657,20131211131780,345,5,1,5,75,545,41,2,2013
55318,20031211030810,165,4,1,1,0,855,32,1,2003
98958,20050101052245,150,3,1,5,115,910,37,1,2005
651981,20230302230879,520,1,3,5,0,0,76,2,2023
373147,20120807121231,510,2,3,1,0,160,51,2,2012
36541,20030807032027,427,3,1,1,0,90,47,2,2003
206110,20071211071547,630,7,1,1,362,362,42,1,2007
226839,20080706081538,175,4,1,5,0,675,46,1,2008
27170,20030605032167,208,2,3,1,0,101,50,1,2003
121533,20050807050636,385,1,3,1,0,0,31,1,2005
20360,20030503032859,330,2,1,1,0,50,30,1,2003
552335,20181009181558,97,4,1,1,300,300,28,1,2018
250791,20090302091421,420,2,1,4,180,285,79,1,2009
22414,20030504032098,576,3,3,1,0,45,68,2,2003
288933,20100302102335,80,1,3,1,0,0,73,2,2010
620586,20210907211802,85,4,1,1,120,171,41,1,2021
624015,20211010212536,85,7,3,1,0,420,24,2,2021
559329,20190112182425,100,2,1,5,435,435,65,2,2019
177893,20070201071887,70,3,1,1,0,645,44,1,2007
97454,20041211042257,73,4,1,1,0,412,39,2,2004
124252,20050907050657,402,10,3,5,0,0,19,2,2005
56238,20031211031795,96,2,1,1,90,90,37,2,2003
252354,20090303091284,195,4,3,1,0,640,24,1,2009
158041,20060707061172,260,4,1,5,60,505,42,2,2006
103257,20050201051500,520,1,3,4,0,170,60,2,2005
508734,20170201171590,690,3,1,1,0,210,46,1,2017
271354,20091009090787,114,2,2,1,0,0,41,1,2009
192324,20070706072003,149,5,1,5,140,646,39,2,2007
60790,20040112030811,169,4,1,2,153,659,38,1,2004
77315,20040605041119,253,1,3,1,0,0,37,1,2004
376765,20120908122295,30,6,3,5,0,495,41,1,2012
313167,20101110102015,420,8,1,5,125,492,68,1,2010
663634,20231008230964,55,6,3,1,0,995,73,1,2023
2402,20030112021178,70,3,3,1,0,365,41,2,2003
373008,20120807121060,475,1,3,5,0,330,58,2,2012
301180,20100706101950,130,2,2,1,0,0,25,2,2010
168841,20061110061699,280,1,3,1,0,226,54,2,2006
472218,20151010151332,60,2,1,1,225,775,57,1,2015
538514,20180302182228,300,4,3,1,0,0,21,1,2018
526232,20171009170091,410,2,3,4,0,300,52,2,2017
415024,20131211131027,141,1,3,1,0,0,47,1,2013
39195,20030907030904,45,3,1,1,205,409,33,1,2003
120564,20050707051904,121,3,1,1,100,515,29,1,2005
307632,20100908102301,465,4,1,5,0,180,24,2,2010
348385,20111110112147,40,5,3,1,0,11,42,2,2011
300010,20100706100949,165,2,1,1,325,325,55,1,2010
289380,20100303100880,96,4,1,1,45,200,42,1,2010
44793,20031008031069,95,3,1,5,0,585,30,1,2003
661949,20230907230979,0,2,1,5,630,800,74,1,2023
93524,20041110041609,140,2,1,1,32,32,54,2,2004
520205,20170706171119,725,2,1,5,10,415,66,2,2017
614065,20210504212105,405,2,1,5,240,510,73,2,2021
641363,20220808222340,280,2,1,5,620,620,70,2,2022
657290,20230605230123,120,3,3,5,0,30,39,2,2023
249597,20090301091780,0,3,1,1,960,960,31,2,2009
266570,20090807091904,378,2,1,5,147,477,62,2,2009
101564,20050112042031,15,6,1,1,0,345,25,1,2005
191899,20070706071582,494,7,3,5,0,226,29,2,2007
76788,20040605040509,132,3,3,1,0,112,40,1,2004
472127,20151010150829,130,2,2,1,0,0,21,2,2015
523858,20170907171782,315,1,3,1,0,0,45,1,2017
508767,20170201171645,585,1,3,5,0,0,85,1,2017
184947,20070404071024,150,5,1,1,320,320,23,2,2007
406938,20130808131342,108,5,3,1,0,425,38,1,2013
634636,20220502221713,200,5,2,1,0,0,33,1,2022
189168,20070605071637,182,1,3,1,0,0,53,2,2007
88740,20041008041828,140,4,3,1,0,595,39,2,2004
456903,20150403151009,300,5,3,5,0,0,33,2,2015
410785,20131009132034,630,1,3,5,0,0,72,1,2013
18576,20030403032829,434,3,1,5,0,436,48,1,2003
215436,20080302082082,159,5,1,5,80,731,32,1,2008
174955,20070112061044,100,3,3,1,0,295,19,1,2007
11754,20030302031181,635,5,1,1,0,307,44,2,2003
303883,20100807101693,120,3,3,1,0,330,56,2,2010
85571,20040906041834,350,2,1,1,170,445,40,1,2004
5269,20030112023558,675,3,3,1,0,0,40,2,2003
427914,20140504140750,535,3,3,5,0,320,78,2,2014
93632,20041110041718,250,3,3,1,0,160,34,1,2004
3712,20030112022292,635,4,1,1,130,190,20,1,2003
438301,20140908141047,120,4,2,1,0,0,48,2,2014
81487,20040706042398,544,2,1,2,185,185,56,2,2004
13401,20030302032761,207,4,3,5,0,95,21,2,2003
15692,20030402030783,555,2,1,1,0,390,50,1,2003
379541,20121009122255,535,1,3,5,0,0,85,2,2012
160411,20060807062112,0,3,1,1,780,780,19,2,2006
441945,20141009142003,30,5,1,5,30,895,30,2,2014
542747,20180504182036,135,3,1,1,250,660,39,2,2018
593107,20200706202056,60,2,3,3,0,719,36,1,2020
15192,20030303032521,591,1,3,4,0,120,38,1,2003
606040,20210112201465,250,2,2,1,0,0,32,1,2021
83993,20040807041767,305,3,1,1,0,0,32,2,2004
475808,20151211150959,705,1,3,1,0,0,66,1,2015
440097,20140909142247,305,2,1,1,103,535,28,2,2014
51997,20031110032466,300,1,3,1,0,660,52,2,2003
222511,20080604082104,243,4,1,1,186,519,55,1,2008
354753,20120112112006,185,6,1,1,150,270,49,2,2012
294117,20100504101144,120,2,1,1,435,435,79,2,2010
244828,20090112081167,240,5,3,4,0,585,41,2,2009
454193,20150302151077,1000,2,1,4,270,270,26,2,2015
64261,20040201040696,95,2,1,1,120,120,32,1,2004
255837,20090503091908,271,6,3,1,0,190,27,2,2009
51509,20031110031969,655,2,1,1,300,300,61,2,2003
249899,20090302090574,45,4,1,1,0,645,43,1,2009
121436,20050807050538,217,2,1,5,563,563,75,1,2005
49422,20031109031389,510,3,1,1,0,540,43,1,2003
332068,20110505112362,81,3,1,1,90,684,33,2,2011
613829,20210504211737,1080,2,3,5,0,0,70,1,2021
534726,20180112172384,290,2,1,1,460,460,62,1,2018
472027,20151009152457,380,2,1,4,400,400,26,1,2015
313660,20101110102490,255,3,3,1,0,210,47,1,2010
498175,20160908162466,436,4,1,5,30,608,52,2,2016
90684,20041009041979,0,7,3,1,0,920,45,2,2004
225206,20080606082036,210,4,1,1,0,598,39,2,2008
666044,20231110230668,180,4,1,1,40,785,28,1,2023
379557,20121009122275,0,4,1,5,0,810,37,1,2012
435772,20140807141082,155,6,3,5,0,430,59,1,2014
196777,20070908070836,60,4,1,1,102,380,42,1,2007
663493,20231008230013,14,4,1,1,30,275,31,2,2023
293008,20100502100100,50,7,3,1,0,670,21,2,2010
207311,20071212071907,145,4,1,1,0,240,41,1,2007
119938,20050706052294,269,5,1,1,135,135,42,2,2005
638569,20220706220906,840,1,3,5,0,0,69,2,2022
560282,20190201191735,574,1,3,5,0,0,68,2,2019
355726,20120201120798,30,4,3,1,0,564,22,2,2012
665983,20231110230555,0,4,1,1,50,720,40,1,2023
61308,20040112031274,420,3,1,5,60,300,51,2,2004
508113,20170201170769,0,2,1,1,230,230,41,1,2017
256570,20090504090985,62,4,3,1,0,94,46,1,2009
370805,20120706121641,250,4,3,5,0,530,41,2,2012
310865,20101010101041,0,2,1,1,105,935,26,2,2010
207794,20080111070950,605,1,3,5,0,0,85,2,2008
635144,20220504220753,150,2,1,5,705,705,77,1,2022
353813,20120112111255,152,4,3,1,0,398,27,2,2012
363365,20120403122438,485,6,1,1,0,415,51,1,2012
640557,20220807221583,210,4,1,1,285,660,58,1,2022
142798,20060301061228,240,2,3,1,0,480,34,2,2006
559599,20190201190641,655,4,3,1,0,0,48,1,2019
312494,20101110101428,65,4,1,1,15,326,45,1,2010
225541,20080705081773,740,1,3,1,0,0,61,1,2008
16960,20030403031171,10,5,3,1,0,0,20,2,2003
358459,20120302120059,0,8,1,1,0,870,56,2,2012
500101,20161009162156,405,4,3,1,0,0,56,2,2016
83725,20040807041542,1020,2,1,5,0,0,76,1,2004
446172,20141211141044,455,1,3,1,0,120,46,2,2014
79483,20040706040045,70,3,1,1,0,330,19,2,2004
365984,20120504122205,211,2,1,1,160,160,57,2,2012
100482,20050112041140,240,2,1,5,0,525,59,2,2005
367493,20120605121139,135,2,1,5,675,675,69,1,2012
521820,20170806171625,39,3,3,2,0,150,32,1,2017
320910,20110201110623,930,5,3,5,0,30,31,2,2011
593902,20200807200029,11,2,1,5,679,679,69,1,2020
16495,20030403030670,125,3,1,5,0,715,40,2,2003
429509,20140504142507,45,4,3,1,0,275,22,1,2014
46910,20031009031886,580,2,1,5,440,440,63,2,2003
476907,20151211152418,300,3,3,5,0,450,67,1,2015
356477,20120201121600,30,4,3,1,0,300,78,2,2012
629681,20220201220713,175,3,1,1,355,560,47,1,2022
152254,20060505062112,315,2,1,5,90,510,68,1,2006
218664,20080403082091,35,2,1,1,385,385,56,1,2008
459381,20150504151183,245,6,1,1,90,287,19,1,2015
620222,20210808211886,840,2,2,1,0,0,29,2,2021
527478,20171009172140,123,4,1,1,85,105,45,2,2017
200052,20071009071139,30,4,1,1,0,430,44,2,2007
80364,20040706041341,150,4,1,2,135,690,46,2,2004
169524,20061110062339,460,2,1,1,0,0,28,1,2006
596740,20200908200831,1005,2,3,5,0,0,67,1,2020
189332,20070605071795,115,4,1,1,0,220,42,2,2007
415232,20131211131257,490,1,3,5,0,350,85,1,2013
408916,20130908132189,165,3,1,1,30,125,46,1,2013
416304,20131212130630,565,1,3,5,0,0,85,1,2013
599309,20201009201619,930,2,3,5,0,30,79,2,2020
177370,20070201071337,165,7,1,5,30,910,39,1,2007
468861,20150908150972,80,6,1,5,85,915,30,2,2015
583229,20200112191779,20,1,3,1,0,0,58,2,2020
62797,20040112032569,361,2,1,5,375,375,69,1,2004
114431,20050505051597,295,3,1,1,0,231,56,1,2005
29310,20030606032533,367,2,1,5,168,168,75,1,2003
659349,20230706231104,80,2,1,1,10,10,74,1,2023
40616,20030908030985,607,1,3,5,0,263,63,1,2003
496102,20160808161049,220,2,1,1,335,720,69,1,2016
446333,20141211141240,129,3,2,1,0,150,33,1,2014
176703,20070201070568,85,3,2,1,0,217,33,1,2007
286157,20100212091055,380,1,3,1,0,20,45,1,2010
651514,20230301230679,60,5,2,5,0,790,20,1,2023
55871,20031211031434,490,2,1,5,560,560,71,1,2003
397603,20130504130083,105,4,1,1,20,230,34,1,2013
63504,20040112033271,0,2,2,1,0,0,50,1,2004
243235,20090101091698,425,3,1,5,40,338,50,2,2009
426293,20140403141672,420,1,3,1,0,430,49,2,2014
131509,20051110051383,0,3,1,1,815,845,54,2,2005
275144,20091110091407,60,4,2,1,0,450,48,2,2009
497146,20160908160962,83,2,3,1,0,0,57,2,2016
280904,20100112090734,145,5,1,1,0,420,36,2,2010
337918,20110805112455,162,2,1,5,220,220,62,1,2011
659167,20230706230753,160,6,1,1,0,0,32,2,2023
256636,20090504091083,183,4,1,1,0,231,27,2,2009
125,20030101030796,300,1,3,1,0,45,58,2,2003
579318,20191111191812,485,2,1,2,265,265,71,2,2019
396095,20130403131920,450,4,2,5,0,0,56,1,2013
59802,20040111031746,390,5,1,5,0,480,48,1,2004
492744,20160706161370,310,2,3,1,0,0,24,1,2016
109927,20050403051590,345,3,1,1,0,0,50,2,2005
597568,20200908202086,465,3,3,3,0,435,64,1,2020
376140,20120908121691,345,1,3,1,0,0,37,1,2012
648365,20230111221393,605,2,1,1,385,385,61,1,2023
481934,20160202161791,220,4,3,1,0,345,57,2,2016
39890,20030907033363,120,2,1,5,600,600,72,1,2003
120627,20050707052076,235,3,1,1,230,230,49,1,2005
380906,20121110120566,495,4,1,1,0,300,31,1,2012
313005,20101110101880,390,4,1,1,0,555,46,2,2010
386994,20130112120752,90,4,1,1,0,750,26,2,2013
225989,20080706080634,0,3,1,1,75,140,43,2,2008
35009,20030807030581,230,2,3,1,0,355,27,2,2003
486918,20160404160051,125,2,1,1,195,195,31,1,2016
362416,20120403121441,95,5,1,1,110,340,36,2,2012
472371,20151010152378,511,1,3,1,0,270,69,2,2015
392407,20130302131009,120,3,1,1,0,205,36,1,2013
509397,20170201172459,88,3,1,1,15,235,34,2,2017
456601,20150403150634,135,4,3,5,0,480,42,1,2015
425048,20140402141553,360,6,1,1,0,0,41,2,2014
334470,20110605112389,139,5,1,1,0,360,23,1,2011
635605,20220504221492,170,3,2,1,0,350,28,2,2022
504571,20161211162107,419,2,3,5,0,225,55,2,2016
302640,20100807100019,377,2,1,1,0,0,54,1,2010
511040,20170302171073,135,2,3,1,0,489,23,1,2017
94948,20041111041860,145,3,1,1,45,615,31,2,2004
95015,20041111042028,570,2,3,1,0,60,53,1,2004
532939,20180111171570,900,1,3,5,0,0,79,1,2018
296272,20100604101301,30,2,3,1,0,0,26,1,2010
619436,20210807211496,860,3,1,5,90,90,54,2,2021
286189,20100212091278,20,3,3,4,0,0,57,1,2010
99840,20050112040601,0,2,1,5,990,990,49,2,2005
327525,20110403111360,355,2,1,1,185,185,48,2,2011
428547,20140504141417,235,1,3,1,0,0,25,2,2014
628816,20220112211523,465,3,3,1,0,455,57,1,2022
498002,20160908162192,85,3,2,1,0,245,27,2,2016
40883,20030908031232,150,3,3,1,0,0,55,2,2003
638873,20220706221500,785,1,3,5,0,0,48,2,2022
575893,20191008192108,550,5,3,2,0,92,37,2,2019
444486,20141110142109,418,4,1,1,190,517,48,1,2014
33553,20030706033539,168,6,1,5,0,732,36,2,2003
114821,20050604051040,125,4,1,2,0,580,39,2,2005
637845,20220605222485,210,2,1,5,229,379,72,2,2022
80949,20040706041900,760,1,3,4,0,0,57,1,2004
325354,20110302112161,280,3,3,1,0,50,49,1,2011
550129,20180908181265,240,1,3,1,0,570,50,1,2018
636122,20220504222376,164,6,3,1,0,105,43,2,2022
393270,20130302132010,230,3,1,1,145,445,42,2,2013
489474,20160505161707,0,3,1,1,810,810,39,2,2016
354711,20120112111975,60,5,1,5,0,770,37,2,2012
622081,20211008210658,490,2,2,5,0,0,60,2,2021
553655,20181109181942,30,5,3,4,0,900,35,2,2018
273366,20091010090116,119,2,3,4,0,771,25,2,2009
481766,20160202161199,638,5,1,1,0,30,39,2,2016
74112,20040504040736,850,2,1,5,35,230,62,2,2004
272179,20091009091525,100,1,3,1,0,170,51,2,2009
43608,20030909030547,207,3,1,1,144,447,27,2,2003
328999,20110404112094,5,1,3,5,0,0,64,1,2011
589757,20200605200733,180,2,1,1,705,705,53,1,2020
320699,20110201110035,60,6,1,1,0,55,23,1,2011
527946,20171010171552,164,2,1,5,300,505,75,1,2017
177362,20070201071331,600,2,3,1,0,0,28,2,2007
23979,20030505030007,120,4,1,1,45,285,43,2,2003
419560,20140201140578,298,2,3,5,0,257,19,1,2014
587708,20200503201904,840,1,3,5,0,0,76,2,2020
501681,20161110160946,105,4,1,1,30,345,52,1,2016
640236,20220807220851,0,2,1,1,345,875,58,1,2022
468188,20150907150543,135,2,3,1,0,0,22,1,2015
434893,20140806140953,661,3,1,1,179,249,49,1,2014
57751,20031211033351,360,1,3,1,0,0,46,1,2003
584998,20200201202196,110,5,1,1,0,370,30,2,2020
461460,20150605150740,795,1,3,1,0,0,77,2,2015
634298,20220403222454,915,2,1,5,45,45,70,2,2022
89892,20041009041287,645,4,1,5,240,240,80,2,2004
474151,20151110152055,395,7,1,5,150,598,68,1,2015
352829,20120111112215,345,6,3,1,0,0,47,1,2012
14555,20030303030678,90,2,1,5,750,750,70,2,2003
616835,20210706210304,490,3,3,5,0,0,38,1,2021
553076,20181010180955,155,4,1,1,180,305,55,1,2018
258247,20090505090560,170,3,3,1,0,150,22,2,2009
356176,20120201121293,215,3,3,1,0,0,48,2,2012
507035,20170112161518,175,2,1,1,0,0,24,1,2017
124062,20050808052174,652,1,3,1,0,60,23,2,2005
470320,20151008151571,60,4,1,1,340,805,19,2,2015
540049,20180403181399,120,2,1,1,250,250,55,2,2018
64980,20040201041400,123,2,1,5,265,265,67,2,2004
321885,20110201111796,640,1,3,5,0,0,80,2,2011
600805,20201110200765,210,4,1,1,0,222,50,1,2020
368394,20120605122114,223,3,3,1,0,240,47,2,2012
625294,20211110212299,165,7,3,1,0,180,76,2,2021
252810,20090402090566,60,5,1,1,0,535,23,1,2009
632117,20220302221769,170,3,1,1,50,260,41,2,2022
232359,20080908081246,230,3,2,1,0,580,40,2,2008
417071,20140111130730,11,2,1,5,769,829,65,1,2014
501489,20161110160684,300,1,3,1,0,0,36,1,2016
21857,20030504031653,0,2,1,1,120,300,67,2,2003
648828,20230112220793,20,2,1,1,715,715,29,1,2023
536059,20180201182238,10,6,3,5,0,762,40,1,2018
10677,20030301033189,446,1,3,1,0,60,54,1,2003
270701,20091008090916,0,4,2,1,0,420,28,1,2009
549058,20180808180730,841,2,3,5,0,0,61,1,2018
444904,20141111140611,700,1,3,5,0,300,70,2,2014
488453,20160504161432,240,2,1,1,485,640,50,2,2016
279433,20091212091897,496,1,3,5,0,80,80,2,2009
263414,20090706091632,30,4,1,1,340,340,46,2,2009
426740,20140403142200,379,4,3,1,0,90,55,2,2014
105010,20050301051515,28,3,3,1,0,0,24,1,2005
506569,20170112160985,0,3,1,1,450,750,29,1,2017
379408,20121009122088,470,5,3,1,0,0,20,1,2012
324581,20110302111353,175,4,1,5,180,300,55,2,2011
566359,20190504190678,295,5,1,1,66,170,44,2,2019
98347,20050101050146,0,4,1,1,60,953,32,1,2005
437793,20140908140152,330,2,1,5,440,440,59,2,2014
605039,20210112200140,549,5,3,5,0,206,50,2,2021
602641,20201210202007,130,2,1,1,448,580,59,2,2020
580258,20191211191179,202,2,2,1,0,0,59,1,2019
533833,20180112171261,110,5,1,1,60,495,31,2,2018
612644,20210502211237,30,3,3,1,0,1080,58,2,2021
610428,20210302212320,465,1,3,1,0,0,43,2,2021
591713,20200705202068,420,3,3,5,0,330,22,2,2020
569869,20190705191272,568,5,1,5,0,275,60,1,2019
541912,20180504180847,0,1,3,1,0,0,41,2,2018
103381,20050201051610,30,4,1,1,375,720,33,1,2005
588609,20200505201482,420,2,3,5,0,240,24,1,2020
295430,20100504102279,277,3,3,5,0,570,54,2,2010
392850,20130302131540,90,2,1,5,210,661,79,2,2013
416901,20140101142328,233,3,3,1,0,45,85,1,2014
102425,20050201050633,565,2,3,1,0,335,31,2,2005
442507,20141010141691,255,3,1,5,472,587,79,1,2014
662824,20230908231537,240,4,1,5,0,670,32,1,2023
607687,20210201211694,240,2,3,5,0,0,70,2,2021
6246,20030201031274,150,5,3,1,0,165,35,2,2003
20742,20030504030604,210,3,3,5,0,600,76,1,2003
170538,20061211060548,120,4,1,1,295,480,19,2,2006
320307,20110112102249,52,2,1,1,330,345,46,2,2011
213466,20080301081078,0,5,2,2,0,520,22,2,2008
265778,20090807091221,507,3,1,5,80,725,47,1,2009
645309,20221110221152,368,1,3,1,0,0,56,1,2022
636473,20220505222534,400,6,3,1,0,30,22,1,2022
342529,20110908111849,365,5,3,4,0,0,35,2,2011
644150,20221009222295,90,4,1,1,120,365,33,2,2022
322573,20110202110750,330,4,1,1,0,510,34,2,2011
62000,20040112031887,360,2,1,5,330,330,79,2,2004
397015,20130404131568,675,2,1,5,75,75,63,2,2013
638289,20220705222412,0,2,3,1,0,340,26,1,2022
364566,20120504120561,105,4,1,1,0,375,46,2,2012
267204,20090807092536,108,3,1,1,240,797,42,2,2009
260799,20090605091960,620,2,1,1,200,200,57,2,2009
89493,20041009040929,875,2,1,5,50,50,80,1,2004
62902,20040112032674,10,3,1,1,0,710,43,2,2004
597770,20200908202377,73,4,1,1,0,265,37,2,2020
246334,20090201090057,235,1,3,4,0,0,26,1,2009
563540,20190303191694,60,4,1,1,272,840,40,1,2019
340946,20110907110696,15,4,1,1,235,835,30,1,2011
392581,20130302131207,500,3,3,1,0,20,53,1,2013
546219,20180706181276,30,3,1,1,150,150,38,1,2018
36266,20030807031793,120,4,1,1,0,720,45,1,2003
8004,20030201032909,255,1,3,1,0,0,29,1,2003
275225,20091110091533,17,2,1,5,420,720,63,2,2009
130138,20051109050681,0,6,1,5,0,804,44,1,2005
455144,20150302152096,321,3,3,5,0,309,34,1,2015
608264,20210202210878,565,2,1,5,270,330,67,2,2021
449526,20150112141238,90,2,1,1,270,270,29,2,2015
217829,20080403081243,430,2,1,5,220,370,73,1,2008
332689,20110605110604,440,1,3,1,0,0,26,1,2011
154352,20060605061975,420,5,1,5,25,570,67,1,2006
486929,20160404160145,170,6,3,5,0,432,45,1,2016
529760,20171110172393,40,4,1,1,54,205,39,2,2017
499515,20161009161388,228,4,1,5,160,672,34,1,2016
277823,20091211090969,399,4,1,1,89,546,38,2,2009
384784,20121211121906,120,3,3,1,0,600,51,1,2012
369843,20120706120563,210,2,3,1,0,0,38,2,2012
538229,20180302181709,150,1,3,1,0,0,45,1,2018
75243,20040504041912,620,2,1,3,400,400,68,1,2004
480085,20160201160524,530,2,3,5,0,0,60,1,2016
287980,20100302101424,202,3,1,1,250,250,55,2,2010
499217,20161009161006,500,4,3,1,0,0,29,2,2016
485122,20160403160502,150,4,1,5,100,640,39,2,2016
293493,20100504100544,220,4,1,5,60,695,40,1,2010
553633,20181109181833,60,3,3,5,0,30,38,1,2018
641403,20220808222521,626,1,3,5,0,0,85,2,2022
296640,20100605100562,87,1,3,1,0,0,60,2,2010
165179,20061009061061,140,3,3,5,0,268,40,2,2006
457449,20150403151698,165,4,1,1,0,325,38,2,2015
134189,20051211051271,710,1,3,5,0,0,85,1,2005
180142,20070302070953,357,2,1,1,290,290,38,1,2007
212434,20080201082377,296,2,1,1,263,443,21,2,2008
603358,20201211201375,470,3,3,1,0,30,33,1,2020
523584,20170808171309,220,3,3,1,0,70,38,2,2017
74036,20040504040658,380,2,1,5,610,610,79,1,2004
199172,20071008071509,210,4,1,1,70,165,38,1,2007
586758,20200302201871,502,1,3,1,0,0,64,2,2020
360882,20120303122070,540,2,1,1,60,360,70,2,2012
408258,20130908131370,205,6,3,1,0,590,21,2,2013
390634,20130201132433,110,4,1,1,0,195,27,2,2013
196284,20070907072133,455,4,3,1,0,250,64,2,2007
282762,20100112092137,0,6,1,1,70,250,28,1,2010
158733,20060806061908,218,4,1,1,30,145,48,1,2006
274984,20091110091260,230,7,1,1,0,805,46,1,2009
