,TUCASEID,TRTALONE,TRNUMHOU,TRSPPRES,TELFS,TRTSPONLY,TRTFAMILY,TEAGE,TESEX,YEAR
46581,20031009031584,20,2,1,1,0,0,55,1,2003
531694,20171211172206,135,2,1,1,750,750,85,2,2017
92550,20041110040683,260,6,3,5,0,630,41,2,2004
341520,20110908110752,184,3,3,1,0,221,52,2,2011
175332,20070112061388,404,5,3,5,0,0,37,2,2007
480701,20160201161346,245,2,3,5,0,0,79,2,2016
494032,20160806160628,0,4,1,1,190,900,41,1,2016
642554,20220908222369,280,2,3,1,0,120,26,1,2022
491274,20160605162167,230,2,1,5,315,745,75,1,2016
133869,20051211050951,85,1,3,5,0,725,74,2,2005
486156,20160403161690,145,2,1,1,225,515,66,1,2016
544864,20180605182311,585,1,3,5,0,0,63,1,2018
526546,20171009170974,215,3,3,1,0,215,32,1,2017
396684,20130403132528,155,2,1,1,210,210,62,2,2013
658433,20230606231782,200,3,3,1,0,0,22,1,2023
33993,20030707032773,419,2,1,5,317,317,61,2,2003
156062,20060706060776,451,1,3,1,0,0,24,1,2006
412249,20131110130738,273,9,1,5,87,597,41,1,2013
421270,20140201142488,525,1,3,5,0,225,74,2,2014
564574,20190403191238,270,1,3,1,0,0,65,2,2019
48675,20031009033608,210,4,1,1,555,620,49,1,2003
488727,20160504161794,110,7,1,1,0,230,52,2,2016
312799,20101110101715,395,2,1,5,445,445,63,2,2010
517553,20170604172216,135,5,1,1,0,610,37,2,2017
539456,20180403180542,841,1,3,5,0,0,74,2,2018
667759,20231211230988,400,2,1,5,410,410,80,2,2023
486186,20160403161714,214,6,1,1,10,616,41,1,2016
654810,20230404230109,200,6,3,5,0,275,46,1,2023
137893,20060112050933,453,1,3,5,0,383,80,2,2006
178609,20070202071467,0,4,1,5,560,577,60,2,2007
255668,20090503090946,280,2,1,1,176,326,46,1,2009
272810,20091009092085,785,1,3,5,0,120,63,2,2009
185838,20070504070587,190,6,1,1,470,470,65,2,2007
595550,20200808200053,450,3,1,5,125,330,38,2,2020
13905,20030302033195,0,3,1,1,680,1060,57,1,2003
335468,20110706110667,20,3,1,5,0,810,29,1,2011
440377,20141008141336,376,1,3,1,0,0,40,1,2014
305682,20100907101726,337,5,1,1,0,403,54,1,2010
34565,20030806032506,870,3,1,4,0,0,19,1,2003
125152,20050908051052,560,1,3,5,0,0,49,2,2005
450964,20150201150656,73,2,1,1,215,215,66,1,2015
650842,20230201232212,150,3,1,1,60,540,39,2,2023
25250,20030604033314,280,6,1,1,2,207,43,1,2003
288695,20100302102106,0,2,1,5,960,960,71,2,2010
402546,20130706130134,435,4,3,1,0,60,53,2,2013
414836,20131211130785,0,4,1,1,170,720,39,2,2013
496653,20160907162062,165,4,3,1,0,0,26,2,2016
406371,20130807132067,215,3,1,1,45,150,51,2,2013
663973,20231009230125,180,5,3,5,0,510,54,2,2023
460809,20150604150091,460,2,1,5,320,320,71,1,2015
576370,20191009191192,67,4,3,1,0,0,63,2,2019
600318,20201109201151,464,4,1,1,210,251,50,1,2020
230019,20080807081976,45,2,1,1,615,870,31,2,2008
520879,20170706172090,115,5,3,5,0,740,54,1,2017
439241,20140908142136,15,3,3,4,0,660,42,1,2014
444218,20141110141802,139,4,1,1,50,246,38,1,2014
205052,20071211070116,195,4,1,4,75,697,38,1,2007
314509,20101210101504,330,1,3,1,0,0,57,2,2010
297979,20100605101803,50,4,1,5,0,525,35,1,2010
304725,20100807102517,166,4,3,1,0,554,47,2,2010
214312,20080302080944,198,4,1,1,45,717,46,2,2008
318239,20110112100131,300,1,3,5,0,0,59,2,2011
665539,20231109230266,565,4,3,1,0,60,55,1,2023
625094,20211110211877,500,2,3,1,0,0,28,2,2021
602301,20201111202022,510,4,3,5,0,300,66,1,2020
584697,20200201201799,5,2,1,5,679,679,77,2,2020
578498,20191110191541,870,1,3,5,0,0,76,2,2019
185498,20070503071212,100,3,1,1,0,385,34,2,2007
42385,20030908032585,805,2,1,5,175,175,40,2,2003
184037,20070403071872,720,2,3,5,0,210,33,2,2007
222857,20080605080600,90,5,1,1,30,750,41,1,2008
542692,20180504181946,691,1,3,5,0,60,75,1,2018
266952,20090807092296,202,6,1,5,0,653,29,2,2009
631130,20220301221020,90,2,1,1,924,924,55,2,2022
630836,20220212210887,600,4,1,1,120,120,56,2,2022
428359,20140504141231,126,4,1,1,0,235,37,1,2014
547729,20180807180024,80,2,1,1,360,790,56,2,2018
270505,20090909092024,220,4,1,1,0,380,38,2,2009
